endTime,artistName,trackName,msPlayed
2022-01-14 19:25,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,30002
2022-01-14 19:32,Jay Sean,Down,212320
2022-01-14 19:36,Jay Sean,Ride It (Kya Yehi Pyar Hai),193718
2022-01-14 19:38,HRVY,Hasta Luego,146814
2022-01-14 19:41,Selena Gomez & The Scene,Who Says,195421
2022-01-14 19:45,Selena Gomez,Wolves,197954
2022-01-14 19:48,Pink Sweat$,At My Worst,157459
2022-01-15 03:23,Miss Pooja,"Second Hand Jawaani (From ""Cocktail"")",3063
2022-01-15 03:23,Javed Bashir,Tera Naam Japdi Phiran,30513
2022-01-15 03:26,Lisa Mishra,Nai Chaida,175048
2022-01-15 03:27,Ewan J Phillips,I Wish I Was the Moon,12973
2022-01-15 03:27,Emily James,Never Chase a Boy,26925
2022-01-15 03:27,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5820
2022-01-15 03:31,Taylor Swift,Love Story (Taylor's Version) - Elvira Remix,211857
2022-01-15 08:29,Prakhar Ke Pravachan,Aman Dhattarwal shut me up for 3 hours straight,3884711
2022-01-15 08:32,Taylor Swift,Love Story (Taylor's Version) - Elvira Remix,143552
2022-01-15 08:34,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",122995
2022-01-15 13:30,GREAT IDEAS GREAT LIFE - Become Smarter Everyday  ,Most Motivational Speech Best Inspirational Speech by Sundar Pichai,50252
2022-01-15 13:39,SeeKen,Successful banne ka sabsea bahtarin hatiyarr . The 20 Second Rule in Hindi,541868
2022-01-15 15:27,Tatiana Manaois,Me and Love Don't Get Along,232615
2022-01-15 15:30,Ray-X,Alone Part 2,177787
2022-01-15 18:34,Meghan Trainor,All The Ways,30136
2022-01-15 18:34,Haschak Sisters,Boys Are so Ugh,33348
2022-01-15 18:37,Selena Gomez,Only You,184683
2022-01-15 18:38,Doja Cat,You Right,6262
2022-01-15 18:41,Billie Eilish,Bored,0
2022-01-15 18:41,Selena Gomez,Kill Em With Kindness - Acoustic,212522
2022-01-15 18:44,Billie Eilish,Bored,180716
2022-01-15 18:46,Hamilton Leithauser,A 1000 Times,27191
2022-01-15 18:46,Joy Division,Love Will Tear Us Apart - 2020 Remaster,80801
2022-01-15 18:47,Roman Remains,Killing Moon,44661
2022-01-16 07:31,Lisa Mishra,Nai Chaida,175048
2022-01-16 07:33,Sarah Cothran,Love Story,68354
2022-01-16 07:36,Taylor Swift,Love Story (Taylor's Version) - Elvira Remix,211857
2022-01-16 07:41,Madilyn Bailey,I Need Your Love,222
2022-01-16 07:41,Landon Austin,"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)",30929
