"endTime","artistName","trackName","msPlayed"
"2023-12-28 11:39","Pink Floyd","The Happiest Days of Our Lives",110826
"2023-12-28 12:00","Pink Floyd","Another Brick in the Wall, Pt. 2",27328
"2023-12-28 14:46","Pink Floyd","Don't Leave Me Now",48257
"2023-12-28 15:01","Pink Floyd","Hey You",197077
"2023-12-29 01:57","AC/DC","Highway to Hell",208400
"2023-12-29 02:00","AC/DC","Girls Got Rhythm",203293
"2023-12-29 02:04","Green Day","Holiday",233026
"2023-12-29 02:07","Eagles","Take It Easy - 2013 Remaster",211577
"2023-12-29 02:11","Eagles","Desperado - 2013 Remaster",213712
"2023-12-29 02:15","Guns N' Roses","Paradise City",227437
"2023-12-29 02:20","Pearl Jam","Alive",340907
"2023-12-29 03:00","Nirvana","Smells Like Teen Spirit",208779
"2023-12-29 04:43","Guns N' Roses","Welcome To The Jungle",61994
"2023-12-29 05:22","KISS","I Was Made For Lovin' You",271240
"2023-12-29 05:58","Eagles","Desperado - 2013 Remaster",212654
"2023-12-29 10:20","AC/DC","Back In Black",255493
"2023-12-29 10:27","Eagles","Hotel California - 2013 Remaster",391376
"2023-12-29 10:30","The Beatles","I Saw Her Standing There - Remastered 2009",173946
"2023-12-29 10:44","Deep Purple","Smoke On The Water - Remastered 2012",340742
"2023-12-29 10:48","AC/DC","Girls Got Rhythm",203293
"2023-12-29 10:53","Green Day","Wake Me up When September Ends",285653
"2023-12-29 10:59","Guns N' Roses","Paradise City",405600
"2023-12-29 11:04","The Beatles","Now And Then",248333
"2023-12-29 11:09","Queen","Bohemian Rhapsody - Remastered 2011",354320
"2023-12-29 11:12","Eagles","Tequila Sunrise - 2013 Remaster",173056
"2023-12-29 11:17","Guns N' Roses","Welcome To The Jungle",273480
"2023-12-29 11:23","Dire Straits","Sultans Of Swing",348400
"2023-12-29 11:28","Red Hot Chili Peppers","Californication",329733
"2023-12-29 11:35","Metallica","Nothing Else Matters",388266
"2023-12-29 11:39","Eagles","Life in the Fast Lane - 2013 Remaster",286219
"2023-12-29 11:44","The Beatles","While My Guitar Gently Weeps - Remastered 2009",285000
"2023-12-29 11:48","AC/DC","You Shook Me All Night Long",210173
"2023-12-29 11:52","Guns N' Roses","Don't Cry (Original)",283733
"2023-12-29 11:57","The Police","Every Breath You Take",130520
"2023-12-29 13:04","Guns N' Roses","Don't Cry (Original)",25697
"2023-12-29 13:05","Guns N' Roses","Don't Cry (Original)",35810
"2023-12-29 15:54","Pink Floyd","The Happiest Days of Our Lives",37271
"2023-12-29 16:31","Pink Floyd","Another Brick in the Wall, Pt. 2",5337
"2023-12-29 16:32","Led Zeppelin","Stairway to Heaven - Remaster",12177
"2023-12-29 18:20","Led Zeppelin","Immigrant Song - Remaster",45354
"2023-12-30 01:41","John Mayer","Bold as Love",10386
